time,pressure1, temperature1,pressure2,temperature2,x,y,z,counter,session
11817.8333,-5.8667,20.48,0.0167,21.12,0,0,512,16,80
11818.0333,-12.8,20.49,0.0,21.12,0,0,514,24,80
11818.2333,-17.0667,20.57,0.0,20.48,0,0,516,0,80
11818.4333,-15.4667,20.51,0.0,21.2,0,0,512,0,80
11818.6333,-13.3333,20.52,0.0,21.12,0,0,512,32,80
11818.8333,-10.1333,20.48,0.0167,20.48,0,0,512,32,80
11819.0333,-6.9333,20.49,0.0167,21.2,2,16,514,32,80
11819.2333,-1.5333,20.49,0.0,20.48,2,1,514,0,80
11819.4333,4.2667,20.48,0.0167,21.2,1,16,512,0,80
11819.6333,9.6,20.49,0.0,21.16,2,0,512,0,80
11819.8333,0.0667,20.57,0.0,21.2,0,0,544,0,80
11820.0333,0.0,20.57,0.0,21.12,0,0,512,0,80
11820.2333,0.6333,20.48,0.0,21.12,1,5,512,0,80
11820.4333,0.5333,20.49,0.0,21.2,0,18,520,0,80
11820.6333,0.0,20.48,0.0,21.13,0,18,520,0,80
11820.8333,1.0667,20.48,0.0,21.12,1,0,512,0,80
11821.0333,1.0667,20.48,0.0,20.48,0,0,512,0,80
11821.2333,0.8,20.56,0.0,21.125,1,0,512,8,80
11821.4333,-12.2667,20.57,0.0,21.12,0,0,512,0,80
11821.6333,-10.6667,20.48,0.0,21.13,0,0,512,0,80
11821.8333,-8.5333,20.57,0.0,21.2,0,1,544,0,80
11822.0333,-8.5333,20.57,0.0,21.2,0,0,513,0,80
11822.2333,-5.2,20.49,0.0,21.28,0,0,544,0,80
11822.4333,0.2,20.56,0.0,20.5,0,0,548,0,80
11822.6333,4.2667,20.505,0.0,21.2,2,0,544,0,80
11822.8333,9.0667,20.49,0.0,21.2,0,0,520,16,80
11823.0333,16.0,20.48,0.0,21.12,0,2,513,16,80
11823.2333,10.1333,20.57,0.0,21.12,4,0,546,16,80
11823.4333,10.6667,20.48,0.0,21.2,4,0,512,16,80
11823.6333,10.1667,20.49,0.0,21.2,0,0,512,16,80
11823.8333,1.6333,20.52,0.0,21.2,2,16,544,16,80
11824.0333,-1.5333,20.48,0.0,21.12,0,4,544,16,80
11824.2333,0.0,20.48,0.0,20.48,0,16,512,16,80
11824.4333,0.6,20.48,0.0,21.22,1,4,520,24,80
11824.6333,0.6667,20.495,0.0,21.16,2,8,512,0,80
11824.8333,0.5333,20.48,0.0,21.2,0,0,512,0,80
11825.0333,0.0333,20.56,0.0,21.125,8,0,512,0,80
11825.2333,0.5333,20.48,0.0,20.48,0,16,512,0,80
11825.4333,0.6,20.56,0.0,21.16,0,0,513,0,80
11825.6333,0.8,20.48,0.0,21.18,0,4,514,0,80
11825.8333,0.0,20.48,0.0,20.48,0,8,512,0,80
11826.0333,-1.3333,20.56,0.0167,21.2,0,0,512,0,80
11826.2333,-0.9667,20.48,0.0,21.12,0,0,512,0,80
11826.4333,-0.5333,20.57,0.0,21.12,0,0,512,0,80
11826.6333,0.0,20.48,0.0,20.48,0,33,544,0,80
11826.8333,0.5333,20.48,0.0,21.16,0,0,512,0,80
11827.0333,-1.0667,20.48,0.0,21.12,0,0,520,0,80
11827.2333,-17.6,20.48,0.0,21.12,0,0,512,0,80
11827.4333,-26.6667,20.48,0.0,21.2,0,0,512,0,80
11827.6333,-29.8667,20.48,0.0,21.2,0,0,512,8,80
11827.8333,-35.2,20.48,0.0,21.125,0,0,512,0,80
11828.0333,-24.0,20.5,0.0,21.2,0,0,512,0,80
11828.2333,0.0333,20.48,0.0,21.12,0,4,256,0,80
11828.4333,22.4333,20.48,0.0,20.48,0,0,512,0,80
11828.6333,41.6667,20.48,0.0,21.2,0,0,544,0,80
11828.8333,0.5333,20.57,0.0,21.12,0,8,516,0,80
11829.0333,0.0,20.49,0.0167,21.12,0,0,512,0,80
11829.2333,0.8,20.56,0.0,20.48,0,8,524,16,80
11829.4333,0.6667,20.48,0.0,21.205,0,4,516,16,80
11829.6333,0.7333,20.48,0.0,20.48,0,16,512,16,80
11829.8333,0.0667,20.56,0.0,21.12,0,0,520,16,80
11830.0333,0.8,20.48,0.0,21.205,0,0,512,16,80
11830.2333,0.5333,20.56,0.0,21.205,0,8,512,16,80
11830.4333,0.0,20.56,0.0,21.2,0,0,512,16,80
11830.6333,-27.2,20.5,0.0,21.16,0,0,512,16,80
11830.8333,-22.3667,20.52,0.0,21.205,0,0,512,24,80
11831.0333,-13.8,20.57,0.0,21.16,0,32,512,0,80
11831.2333,1.6,20.5,0.0,21.16,0,0,516,0,80
11831.4333,12.8,20.48,0.0,21.16,0,0,513,32,80
11831.6333,18.1333,20.48,0.0,21.12,2,33,516,32,80
11831.8333,19.7333,20.56,0.0,21.2,0,0,544,32,80
11832.0333,18.1333,20.48,0.0,21.2,0,0,512,64,80
