time,pressure1
6273.347,3.47E-05
6273.348,3.45E-05
6273.349,3.43E-05
6273.35,3.41E-05
6273.351,3.38E-05
6273.352,3.36E-05
6273.353,3.34E-05
6273.354,3.33E-05
6273.355,3.31E-05
6273.356,3.29E-05
6273.357,3.27E-05
6273.358,3.26E-05
6273.359,3.26E-05
6273.36,3.24E-05
6273.361,3.24E-05
6273.362,3.22E-05
6273.363,3.22E-05
6273.364,3.22E-05
6273.365,3.22E-05
6273.366,3.22E-05
6273.367,3.22E-05
6273.368,3.20E-05
6273.369,3.20E-05
6273.37,3.18E-05
6273.371,3.17E-05
6273.372,3.15E-05
6273.373,3.15E-05
6273.374,3.13E-05
6273.375,3.13E-05
6273.376,3.11E-05
6273.377,3.11E-05
6273.378,3.10E-05
6273.379,3.10E-05
6273.38,3.10E-05
6273.381,3.11E-05
6273.382,3.11E-05
6273.383,3.11E-05
6273.384,3.11E-05
6273.385,3.11E-05
6273.386,3.11E-05
6273.387,3.11E-05
6273.388,3.11E-05
6273.389,3.10E-05
6273.39,3.08E-05
6273.391,3.06E-05
6273.392,3.04E-05
6273.393,3.03E-05
6273.394,3.01E-05
6273.395,2.99E-05
6273.396,2.97E-05
6273.397,2.95E-05
6273.398,2.95E-05
6273.399,2.94E-05
6273.4,2.94E-05
6273.401,2.94E-05
6273.402,2.92E-05
6273.403,2.92E-05
6273.404,2.92E-05
6273.405,2.92E-05
6273.406,2.92E-05
6273.407,2.90E-05
6273.408,2.90E-05
6273.409,2.88E-05
6273.41,2.87E-05
6273.411,2.85E-05
6273.412,2.83E-05
6273.413,2.83E-05
6273.414,2.81E-05
6273.415,2.81E-05
6273.416,2.80E-05
6273.417,2.81E-05
6273.418,2.81E-05
6273.419,2.83E-05
6273.42,2.85E-05
6273.421,2.85E-05
6273.422,2.87E-05
6273.423,2.90E-05
6273.424,2.92E-05
6273.425,2.94E-05
6273.426,2.95E-05
6273.427,2.97E-05
6273.428,2.99E-05
6273.429,2.99E-05
6273.43,2.99E-05
6273.431,2.99E-05
6273.432,2.99E-05
6273.433,2.99E-05
6273.434,2.99E-05
6273.435,2.99E-05
6273.436,2.99E-05
6273.437,2.99E-05
6273.438,2.99E-05
6273.439,2.99E-05
6273.44,2.99E-05
6273.441,2.99E-05
6273.442,3.01E-05
6273.443,3.03E-05
6273.444,3.04E-05
6273.445,3.06E-05
6273.446,3.08E-05
6273.447,3.10E-05
6273.448,3.11E-05
6273.449,3.11E-05
6273.45,3.11E-05
6273.451,3.11E-05
6273.452,3.11E-05
6273.453,3.11E-05
6273.454,3.11E-05
6273.455,3.11E-05
6273.456,3.11E-05
6273.457,3.13E-05
6273.458,3.13E-05
6273.459,3.15E-05
6273.46,3.17E-05
6273.461,3.18E-05
6273.462,3.22E-05
6273.463,3.24E-05
6273.464,3.27E-05
6273.465,3.29E-05
6273.466,3.33E-05
6273.467,3.34E-05
6273.468,3.36E-05
6273.469,3.38E-05
6273.47,3.40E-05
6273.471,3.40E-05
6273.472,3.41E-05
6273.473,3.41E-05
6273.474,3.43E-05
6273.475,3.45E-05
6273.476,3.45E-05
6273.477,3.47E-05
6273.478,3.49E-05
6273.479,3.50E-05
6273.48,3.52E-05
6273.481,3.54E-05
6273.482,3.56E-05
6273.483,3.57E-05
6273.484,3.59E-05
6273.485,3.61E-05
6273.486,3.63E-05
6273.487,3.64E-05
6273.488,3.66E-05
6273.489,3.68E-05
6273.49,3.70E-05
6273.491,3.70E-05
6273.492,3.72E-05
6273.493,3.72E-05
6273.494,3.73E-05
6273.495,3.75E-05
6273.496,3.77E-05
6273.497,3.79E-05
6273.498,3.80E-05
6273.499,3.82E-05
6273.5,3.84E-05
6273.501,3.87E-05
6273.502,3.89E-05
6273.503,3.93E-05
6273.504,3.96E-05
6273.505,4.00E-05
6273.506,4.02E-05
6273.507,4.05E-05
6273.508,4.09E-05
6273.509,4.10E-05
6273.51,4.10E-05
6273.511,4.12E-05
6273.512,4.12E-05
6273.513,4.12E-05
6273.514,4.12E-05
6273.515,4.12E-05
6273.516,4.12E-05
6273.517,4.14E-05
6273.518,4.14E-05
6273.519,4.16E-05
6273.52,4.18E-05
6273.521,4.18E-05
6273.522,4.19E-05
6273.523,4.19E-05
6273.524,4.19E-05
6273.525,4.21E-05
6273.526,4.21E-05
6273.527,4.21E-05
6273.528,4.23E-05
6273.529,4.23E-05
6273.53,4.23E-05
6273.531,4.23E-05
6273.532,4.23E-05
6273.533,4.23E-05
6273.534,4.23E-05
6273.535,4.23E-05
6273.536,4.23E-05
6273.537,4.23E-05
6273.538,4.25E-05
6273.539,4.25E-05
6273.54,4.25E-05
6273.541,4.25E-05
6273.542,4.23E-05
6273.543,4.23E-05
6273.544,4.23E-05
6273.545,4.23E-05
6273.546,4.21E-05
6273.547,4.21E-05
6273.548,4.19E-05
6273.549,4.19E-05
6273.55,4.18E-05
6273.551,4.16E-05
6273.552,4.14E-05
6273.553,4.12E-05
6273.554,4.10E-05
6273.555,4.09E-05
6273.556,4.09E-05
6273.557,4.09E-05
6273.558,4.07E-05
6273.559,4.07E-05
6273.56,4.09E-05
6273.561,4.09E-05
6273.562,4.10E-05
6273.563,4.10E-05
6273.564,4.10E-05
6273.565,4.12E-05
6273.566,4.12E-05
6273.567,4.12E-05
6273.568,4.12E-05
6273.569,4.10E-05
6273.57,4.09E-05
6273.571,4.07E-05
6273.572,4.05E-05
6273.573,4.03E-05
6273.574,4.02E-05
6273.575,4.00E-05
6273.576,4.00E-05
6273.577,3.98E-05
6273.578,3.96E-05
6273.579,3.96E-05
6273.58,3.96E-05
6273.581,3.96E-05
6273.582,3.96E-05
6273.583,3.98E-05
6273.584,3.98E-05
6273.585,3.98E-05
6273.586,4.00E-05
6273.587,4.00E-05
6273.588,4.00E-05
6273.589,4.00E-05
6273.59,4.00E-05
6273.591,3.98E-05
6273.592,3.98E-05
6273.593,3.96E-05
6273.594,3.96E-05
6273.595,3.96E-05
6273.596,3.95E-05
6273.597,3.96E-05
6273.598,3.96E-05
6273.599,3.96E-05
6273.6,3.96E-05
6273.601,3.98E-05
6273.602,3.98E-05
6273.603,4.00E-05
6273.604,4.02E-05
6273.605,4.02E-05
6273.606,4.03E-05
6273.607,4.05E-05
6273.608,4.05E-05
6273.609,4.05E-05
6273.61,4.05E-05
6273.611,4.05E-05
6273.612,4.03E-05
6273.613,4.03E-05
6273.614,4.03E-05
6273.615,4.03E-05
6273.616,4.03E-05
6273.617,4.03E-05
6273.618,4.03E-05
6273.619,4.03E-05
6273.62,4.03E-05
6273.621,4.05E-05
6273.622,4.07E-05
6273.623,4.09E-05
6273.624,4.10E-05
6273.625,4.12E-05
6273.626,4.14E-05
6273.627,4.16E-05
6273.628,4.18E-05
6273.629,4.19E-05
6273.63,4.21E-05
6273.631,4.23E-05
6273.632,4.25E-05
6273.633,4.25E-05
6273.634,4.26E-05
6273.635,4.30E-05
6273.636,4.32E-05
6273.637,4.33E-05
6273.638,4.35E-05
6273.639,4.37E-05
6273.64,4.41E-05
6273.641,4.42E-05
6273.642,4.44E-05
6273.643,4.46E-05
6273.644,4.49E-05
6273.645,4.51E-05
6273.646,4.53E-05
6273.647,4.55E-05
6273.648,4.55E-05
6273.649,4.55E-05
6273.65,4.55E-05
6273.651,4.55E-05
6273.652,4.53E-05
6273.653,4.53E-05
6273.654,4.53E-05
6273.655,4.53E-05
6273.656,4.53E-05
6273.657,4.55E-05
6273.658,4.56E-05
6273.659,4.56E-05
6273.66,4.58E-05
6273.661,4.58E-05
6273.662,4.60E-05
6273.663,4.62E-05
6273.664,4.62E-05
6273.665,4.62E-05
6273.666,4.64E-05
6273.667,4.64E-05
6273.668,4.62E-05
6273.669,4.62E-05
6273.67,4.60E-05
6273.671,4.60E-05
6273.672,4.58E-05
6273.673,4.56E-05
6273.674,4.56E-05
6273.675,4.55E-05
6273.676,4.53E-05
6273.677,4.53E-05
6273.678,4.51E-05
6273.679,4.51E-05
6273.68,4.51E-05
6273.681,4.51E-05
6273.682,4.49E-05
6273.683,4.49E-05
6273.684,4.49E-05
6273.685,4.49E-05
6273.686,4.48E-05
6273.687,4.48E-05
6273.688,4.46E-05
6273.689,4.42E-05
6273.69,4.41E-05
6273.691,4.37E-05
6273.692,4.33E-05
6273.693,4.32E-05
6273.694,4.28E-05
6273.695,4.26E-05
6273.696,4.25E-05
6273.697,4.23E-05
6273.698,4.21E-05
6273.699,4.19E-05
6273.7,4.18E-05
6273.701,4.18E-05
6273.702,4.16E-05
6273.703,4.16E-05
6273.704,4.14E-05
6273.705,4.14E-05
6273.706,4.12E-05
6273.707,4.12E-05
6273.708,4.10E-05
6273.709,4.09E-05
6273.71,4.05E-05
6273.711,4.03E-05
6273.712,4.02E-05
6273.713,4.00E-05
6273.714,3.98E-05
6273.715,3.96E-05
6273.716,3.95E-05
6273.717,3.93E-05
6273.718,3.91E-05
6273.719,3.89E-05
6273.72,3.89E-05
6273.721,3.87E-05
6273.722,3.87E-05
6273.723,3.87E-05
6273.724,3.87E-05
6273.725,3.87E-05
6273.726,3.87E-05
6273.727,3.87E-05
6273.728,3.87E-05
6273.729,3.86E-05
6273.73,3.84E-05
6273.731,3.82E-05
6273.732,3.80E-05
6273.733,3.79E-05
6273.734,3.77E-05
6273.735,3.75E-05
6273.736,3.73E-05
6273.737,3.73E-05
6273.738,3.72E-05
6273.739,3.72E-05
6273.74,3.70E-05
6273.741,3.70E-05
6273.742,3.70E-05
6273.743,3.70E-05
6273.744,3.70E-05
6273.745,3.68E-05
6273.746,3.68E-05
6273.747,3.68E-05
6273.748,3.66E-05
6273.749,3.66E-05
6273.75,3.64E-05
6273.751,3.63E-05
6273.752,3.61E-05
6273.753,3.59E-05
6273.754,3.57E-05
6273.755,3.56E-05
6273.756,3.56E-05
6273.757,3.54E-05
6273.758,3.54E-05
6273.759,3.52E-05
6273.76,3.52E-05
6273.761,3.52E-05
6273.762,3.52E-05
6273.763,3.52E-05
6273.764,3.52E-05
6273.765,3.52E-05
6273.766,3.52E-05
6273.767,3.54E-05
6273.768,3.56E-05
6273.769,3.56E-05
6273.77,3.56E-05
6273.771,3.56E-05
6273.772,3.56E-05
6273.773,3.56E-05
6273.774,3.56E-05
6273.775,3.56E-05
6273.776,3.56E-05
6273.777,3.56E-05
6273.778,3.56E-05
6273.779,3.57E-05
6273.78,3.57E-05
6273.781,3.57E-05
6273.782,3.57E-05
6273.783,3.57E-05
6273.784,3.57E-05
6273.785,3.57E-05
6273.786,3.59E-05
6273.787,3.59E-05
6273.788,3.59E-05
6273.789,3.57E-05
6273.79,3.57E-05
6273.791,3.56E-05
6273.792,3.56E-05
6273.793,3.56E-05
6273.794,3.54E-05
6273.795,3.54E-05
6273.796,3.54E-05
6273.797,3.56E-05
6273.798,3.56E-05
6273.799,3.57E-05
6273.8,3.57E-05
6273.801,3.59E-05
6273.802,3.63E-05
6273.803,3.64E-05
6273.804,3.66E-05
6273.805,3.68E-05
6273.806,3.70E-05
6273.807,3.72E-05
6273.808,3.72E-05
6273.809,3.72E-05
6273.81,3.72E-05
6273.811,3.70E-05
6273.812,3.70E-05
6273.813,3.70E-05
6273.814,3.68E-05
6273.815,3.68E-05
6273.816,3.68E-05
6273.817,3.66E-05
6273.818,3.66E-05
6273.819,3.66E-05
6273.82,3.64E-05
6273.821,3.64E-05
6273.822,3.64E-05
6273.823,3.64E-05
6273.824,3.64E-05
6273.825,3.66E-05
6273.826,3.66E-05
6273.827,3.68E-05
6273.828,3.70E-05
6273.829,3.70E-05
6273.83,3.70E-05
6273.831,3.72E-05
6273.832,3.72E-05
6273.833,3.73E-05
6273.834,3.73E-05
6273.835,3.73E-05
6273.836,3.75E-05
6273.837,3.75E-05
6273.838,3.77E-05
6273.839,3.77E-05
6273.84,3.79E-05
6273.841,3.80E-05
6273.842,3.82E-05
6273.843,3.84E-05
6273.844,3.87E-05
6273.845,3.89E-05
6273.846,3.93E-05
6273.847,3.95E-05
6273.848,3.96E-05
6273.849,3.96E-05
6273.85,3.96E-05
6273.851,3.96E-05
6273.852,3.96E-05
6273.853,3.96E-05
6273.854,3.96E-05
6273.855,3.96E-05
6273.856,3.96E-05
6273.857,3.96E-05
6273.858,3.96E-05
6273.859,3.98E-05
6273.86,4.00E-05
6273.861,4.00E-05
6273.862,4.02E-05
6273.863,4.03E-05
6273.864,4.05E-05
6273.865,4.05E-05
6273.866,4.05E-05
6273.867,4.05E-05
6273.868,4.03E-05
6273.869,4.02E-05
6273.87,4.00E-05
6273.871,3.98E-05
6273.872,3.96E-05
6273.873,3.95E-05
6273.874,3.95E-05
6273.875,3.93E-05
6273.876,3.93E-05
6273.877,3.93E-05
6273.878,3.91E-05
6273.879,3.91E-05
6273.88,3.91E-05
6273.881,3.91E-05
6273.882,3.93E-05
6273.883,3.93E-05
6273.884,3.95E-05
6273.885,3.96E-05
6273.886,3.98E-05
6273.887,4.00E-05
6273.888,4.02E-05
6273.889,4.02E-05
6273.89,4.02E-05
6273.891,4.02E-05
6273.892,4.00E-05
6273.893,3.98E-05
6273.894,3.96E-05
6273.895,3.96E-05
6273.896,3.95E-05
6273.897,3.93E-05
6273.898,3.91E-05
6273.899,3.91E-05
6273.9,3.91E-05
6273.901,3.89E-05
6273.902,3.89E-05
6273.903,3.89E-05
6273.904,3.89E-05
6273.905,3.89E-05
6273.906,3.89E-05
6273.907,3.89E-05
6273.908,3.87E-05
6273.909,3.86E-05
6273.91,3.84E-05
6273.911,3.82E-05
6273.912,3.80E-05
6273.913,3.77E-05
6273.914,3.75E-05
6273.915,3.73E-05
6273.916,3.73E-05
6273.917,3.72E-05
6273.918,3.70E-05
6273.919,3.70E-05
6273.92,3.68E-05
6273.921,3.68E-05
6273.922,3.66E-05
6273.923,3.64E-05
6273.924,3.64E-05
6273.925,3.63E-05
6273.926,3.63E-05
6273.927,3.61E-05
6273.928,3.59E-05
6273.929,3.56E-05
6273.93,3.54E-05
6273.931,3.50E-05
6273.932,3.47E-05
6273.933,3.45E-05
6273.934,3.43E-05
6273.935,3.40E-05
6273.936,3.38E-05
6273.937,3.38E-05
6273.938,3.36E-05
6273.939,3.34E-05
6273.94,3.34E-05
6273.941,3.33E-05
6273.942,3.33E-05
6273.943,3.31E-05
6273.944,3.31E-05
6273.945,3.29E-05
6273.946,3.29E-05
6273.947,3.27E-05
6273.948,3.26E-05
6273.949,3.26E-05
6273.95,3.24E-05
6273.951,3.22E-05
6273.952,3.20E-05
6273.953,3.18E-05
6273.954,3.18E-05
6273.955,3.17E-05
6273.956,3.15E-05
6273.957,3.15E-05
6273.958,3.15E-05
6273.959,3.15E-05
6273.96,3.15E-05
6273.961,3.15E-05
6273.962,3.15E-05
6273.963,3.17E-05
6273.964,3.17E-05
6273.965,3.17E-05
6273.966,3.17E-05
6273.967,3.17E-05
6273.968,3.17E-05
6273.969,3.15E-05
6273.97,3.13E-05
6273.971,3.11E-05
6273.972,3.10E-05
6273.973,3.06E-05
6273.974,3.06E-05
6273.975,3.04E-05
6273.976,3.03E-05
6273.977,3.03E-05
6273.978,3.03E-05
6273.979,3.04E-05
6273.98,3.04E-05
6273.981,3.06E-05
6273.982,3.08E-05
6273.983,3.08E-05
6273.984,3.10E-05
6273.985,3.11E-05
6273.986,3.11E-05
6273.987,3.11E-05
6273.988,3.11E-05
6273.989,3.11E-05
6273.99,3.10E-05
6273.991,3.08E-05
6273.992,3.06E-05
6273.993,3.06E-05
6273.994,3.04E-05
6273.995,3.04E-05
6273.996,3.04E-05
6273.997,3.04E-05
6273.998,3.06E-05
6273.999,3.06E-05
6274,3.08E-05
6274.001,3.08E-05
6274.002,3.10E-05
6274.003,3.11E-05
6274.004,3.13E-05
